name,fclass,geometry
Kimsy Pharmacy,pharmacy,POINT (32.5927072 0.309689)
,doctors,POINT (32.5920014 0.3105073)
Lady Sarah Modified Primary School,school,POINT (32.5965042 0.3084457)
The Herbal Research Clinic,doctors,POINT (32.5968856 0.3082209)
Uganda Police Mechanical Workshop,police,POINT (32.5971009 0.3179509)
New Vision House,public_building,POINT (32.602998 0.3238172)
Bank of Africa,bank,POINT (32.5740925 0.3182711)
Kenya Commercial Bank,bank,POINT (32.5742049 0.3178863)
DTB - Diamond Trust Bank,bank,POINT (32.573667 0.3178458)
dfcu,bank,POINT (32.5733881 0.3174788)
Crane Bank,bank,POINT (32.5789814 0.3138771)
Cafe Javas,cafe,POINT (32.592307 0.3183557)
Prime Educare Centre Ntinda,school,POINT (32.6194808 0.3549838)
,atm,POINT (32.6156858 0.3563936)
Mother Goose Nursery & Pre-School,school,POINT (32.6201943 0.3524975)
Mother Goose Daycare,school,POINT (32.6197115 0.3546969)
Maawa Clinic,doctors,POINT (32.6448037 0.3209442)
St. Rosemary Clinic - Mutungo,doctors,POINT (32.646452 0.3186746)
Comfort Nursery School,kindergarten,POINT (32.6466182 0.3191098)
Stanbic Bank,atm,POINT (32.6140551 0.3549496)
St. Paul's Kindergarten Ntinda,school,POINT (32.6128801 0.3517782)
Nakinyuguzi High School,school,POINT (32.6016073 0.2707631)
Kampala Pupils Primary School,school,POINT (32.6020687 0.2708811)
St. Catherine's College,school,POINT (32.5993371 0.2708758)
Teletubbies Nursery & Primary,school,POINT (32.6099908 0.2718306)
Konge Parent Day & Boarding Primary School,school,POINT (32.6093578 0.27241)
Konge Parent School Health Clinic,doctors,POINT (32.6100713 0.2712781)
St. Charles Lwanga Buikwe Hospital,hospital,POINT (33.033049 0.337596)
Stanbic Bank,bank,POINT (32.5888792 0.3183426)
Central Inn,restaurant,POINT (32.4642824 0.046838)
Oasis,bar,POINT (32.4658707 0.0551678)
DOT ECB Centre & Junior School,school,POINT (32.4627208 0.0443278)
Effendy's Turkish Restaurant,restaurant,POINT (32.5940403 0.3180439)
Kirabo Clinic,doctors,POINT (32.631329 0.2900377)
Bukassa Medical Center,doctors,POINT (32.6302689 0.2910496)
Sparkling Star Early Learning Center,school,POINT (32.6295502 0.2891794)
Homeland Pub,pub,POINT (32.628079 0.2889111)
Agape Internet Cafe,cafe,POINT (32.6264152 0.2882567)
Ssebo Green,restaurant,POINT (32.6305587 0.2889219)
Latitude 1 North,restaurant,POINT (32.468226 0.0463486)
Lake Victoria School,school,POINT (32.4658879 0.0490696)
AAR Victoria Medical Centre,clinic,POINT (32.4646819 0.0553764)
Stanbic Bank,bank,POINT (32.4715375 0.0607571)
Hawa Pharmacy,pharmacy,POINT (32.4718726 0.0611736)
Eden Pharmacy and Healthcare Ltd.,pharmacy,POINT (32.4636708 0.0554886)
PostBank,bank,POINT (32.4637275 0.0555112)
Anderson's Café,cafe,POINT (32.463532 0.0554413)
Bank of Africa,bank,POINT (32.471878 0.0610596)
4 Turkeys,pub,POINT (32.4718611 0.0614215)
Winnie's Eating Place,fast_food,POINT (32.6210334 0.2914649)
KITS school of Modern Techniques,school,POINT (32.6436124 0.3600078)
Kigo Inn,restaurant,POINT (32.6434085 0.3584199)
Jenfrey Nursery and Daycare Centre,school,POINT (32.643666 0.3590315)
Stagnes Primary School,school,POINT (32.4626822 0.0466132)
Sacred Heart Bugonga Primary School,school,POINT (32.4656118 0.0437895)
Ma Peera Nursery & Primary School,school,POINT (32.4651616 0.0447729)
Faith Drug Shop,pharmacy,POINT (32.4657662 0.0414068)
Mary Reparatrix Boarding School,school,POINT (32.466459 0.0427471)
Seasons Restaurant,restaurant,POINT (32.4720757 0.0630506)
Orient Bank,bank,POINT (32.471576 0.0623727)
Chadwick Namate Primary School,school,POINT (32.4733083 0.0664183)
Stone Pub,pub,POINT (32.4743571 0.0667919)
Engineering Management Institute,school,POINT (32.6536192 0.3422255)
,bank,POINT (32.585642 0.3142817)
Caffe Roma,restaurant,POINT (32.620071 0.2924238)
Daycare Cntr,school,POINT (32.6292325 0.3724375)
,police,POINT (30.1743512 -0.0764439)
Miki's Bar,bar,POINT (32.62645 0.2513727)
Meeting Point,restaurant,POINT (29.7000191 -0.7482162)
Muyenga Community Police,police,POINT (32.6151973 0.2942366)
Walanga F.Y.M. Primary School,school,POINT (34.4212034 0.8369854)
Chepkube A.C.K. Primary School,school,POINT (34.4275636 0.8297052)
Kamosong S.A. Primary School,school,POINT (34.4346798 0.8358435)
Nalondo S.A. Primary School,school,POINT (34.422128 0.8166704)
Kansanga Hill Primary School,school,POINT (32.6137131 0.2851573)
Arcadia Restaurant,restaurant,POINT (30.952991 -0.6381971)
Ruby Pharmacy,pharmacy,POINT (32.5840374 0.2824646)
,pub,POINT (32.5847667 0.2814391)
Kolonyi Primary School,school,POINT (34.14688 1.1389541)
Police Camp,police,POINT (33.4698659 3.4070284)
Police Camp,police,POINT (33.6027475 3.4953646)
Fugly's Kitgum,restaurant,POINT (32.8814726 3.2876474)
UWA Headquarters,police,POINT (33.717157 3.615831)
The Woods,restaurant,POINT (32.6146209 0.2942048)
Farida Restaurant,restaurant,POINT (32.6018919 0.2811716)
Lubowa Police Station,police,POINT (32.5577365 0.243643)
Kabalagala Police Post,police,POINT (32.6042515 0.2973698)
Kisubi High School,school,POINT (32.5464209 0.1554173)
Fishing Village,restaurant,POINT (32.5444422 0.1443835)
Finalandbar,restaurant,POINT (32.5398362 0.1389603)
Sports Beach,restaurant,POINT (32.4597355 0.0383055)
Orient Bank,bank,POINT (32.4430158 0.0445564)
,atm,POINT (32.442922 0.0451829)
,atm,POINT (32.4429191 0.0451016)
,atm,POINT (32.4427929 0.045183)
,atm,POINT (32.4427938 0.0451017)
Maama Africa,fast_food,POINT (32.4431182 0.0453756)
Hawa Pharmacy,pharmacy,POINT (32.4431056 0.0454997)
Goretti's Beachside Pizzeria,restaurant,POINT (32.4815442 0.0699541)
Anderita Beach Hotel Restaurant,restaurant,POINT (32.4808852 0.0703796)
Creamland High School,school,POINT (32.635965 0.3373783)
Country Inn Hotel,pub,POINT (34.1771326 1.0915398)
The Source,cafe,POINT (33.2080637 0.4258297)
Tropical Bank,bank,POINT (33.2076519 0.4256759)
New Rendezvous,pub,POINT (33.2079238 0.4261673)
Jinja Central Police Station,police,POINT (33.2093273 0.428908)
Magamaga Police Station,police,POINT (33.366448 0.5228392)
Highland Infant School,school,POINT (33.3735692 0.5249926)
,school,POINT (33.413349 0.5646718)
Dawn Prime Academy,school,POINT (33.4447526 0.5897909)
Kiss Discoteque,pub,POINT (33.4521383 0.5963897)
Postbank,bank,POINT (33.4759257 0.6149659)
,pharmacy,POINT (33.483768 0.6168073)
Girls School,school,POINT (33.505306 0.6265525)
Kira High school,school,POINT (33.2183966 0.4486949)
Amani Baby Cottage,kindergarten,POINT (33.2084829 0.4182207)
IMC Jinja,clinic,POINT (33.2089993 0.4201566)
Aryan School,school,POINT (33.2059018 0.4234469)
Kabwangasi Primary Teachers College,college,POINT (34.1225231 1.1408588)
Masaba Primary School,school,POINT (34.165416 1.1479118)
Salem School of Nursing,college,POINT (34.1494517 1.1373404)
Manafwa High School,school,POINT (34.1719287 1.0696638)
gombe restuarant,restaurant,POINT (34.1655776 1.0709746)
Mount Masaba High School,school,POINT (34.180145 1.0771007)
Nkokojeru Primary School,school,POINT (34.1808449 1.0757037)
Kira,police,POINT (32.6406383 0.3927435)
,pharmacy,POINT (32.6258378 0.3913193)
,fast_food,POINT (32.6372316 0.2546805)
,pub,POINT (32.6370609 0.2546895)
,pub,POINT (32.6371988 0.2539975)
Executive,pub,POINT (32.6376994 0.2544047)
,restaurant,POINT (32.6839619 0.2303095)
Nanjing,restaurant,POINT (32.5986617 0.3287172)
Ntinda View College,school,POINT (32.6100199 0.3703578)
St. Joseph Vocational School,school,POINT (32.6148773 0.3709233)
East High School,school,POINT (32.6164437 0.373348)
Children's Centre Kyabirwa Primary School,school,POINT (33.1603655 0.4872673)
Sekindi zone LC 1 Office,public_building,POINT (32.6215601 0.2903704)
Epitome Kindergarten,kindergarten,POINT (32.6199243 0.2894179)
Capitol Pub,pub,POINT (32.6016116 0.2982159)
Iguana,bar,POINT (32.5871396 0.3392934)
Kids Care International Daycare,kindergarten,POINT (32.6608573 0.3454091)
Bright College Seeta,school,POINT (32.7093843 0.3669323)
Mobella Hut Shade,pub,POINT (32.7124026 0.3683966)
Slow Food Bamboo Restaurant,restaurant,POINT (32.7434843 0.3636086)
Bank of Baroda,bank,POINT (32.7467353 0.3603552)
Centenary Bank,bank,POINT (32.7528257 0.3572479)
Cave's Bar,pub,POINT (32.8147349 0.3654468)
,police,POINT (32.8209245 0.3687942)
Fruit & Meat Snacks,fast_food,POINT (32.8372055 0.3835688)
All Saints Junior School,school,POINT (32.8623466 0.3871444)
Inland Bar,pub,POINT (32.880127 0.3704177)
Lugazi Homeland College,school,POINT (32.9190487 0.3730094)
Kawolo Primary School,school,POINT (32.925353 0.3698856)
Maria Thereza College,school,POINT (32.9326695 0.3669323)
,atm,POINT (32.935602 0.36833)
Finance Trust,bank,POINT (32.9367658 0.369086)
,atm,POINT (33.1788353 0.4396151)
Fuego,restaurant,POINT (32.6065804 0.3003416)
Zigoti Senior Secondary School,school,POINT (32.169726 0.3808512)
St. Mary's Preparatory School Zigoti,school,POINT (32.169726 0.3805361)
Kakindu Nezikokolima Primary School,school,POINT (32.1470776 0.31197)
A Chance For Children Primary School Bongole,school,POINT (32.2086368 0.2960192)
Nabumali Senior Secondary School,school,POINT (34.2176366 0.986118)
M-Kay Pharmacy,pharmacy,POINT (32.5556058 0.2974592)
Stanbic Bank,bank,POINT (32.0416964 0.4008164)
dfcu Bank,bank,POINT (31.3506836 1.4332426)
,kindergarten,POINT (31.3518599 1.4340446)
Absa,bank,POINT (31.3508152 1.4330963)
Opportunity Bank,bank,POINT (31.3525908 1.4315679)
Centenary Bank,bank,POINT (31.3492549 1.4296482)
Kolping Internet,cafe,POINT (31.349983 1.4291564)
,police,POINT (34.3786558 1.3355708)
Stanbic Visa ATM,atm,POINT (32.6034052 0.3683399)
Palm Restaurant and Bar,bar,POINT (32.6021164 0.3695412)
Chillies,fast_food,POINT (32.6121414 0.3547267)
Bliss,restaurant,POINT (32.5950146 0.3186684)
Kyoto Japanese Restaurant,restaurant,POINT (32.5932788 0.31854)
Green Gardens,pub,POINT (32.5931629 0.3177193)
Mr. Tasty Fried Chicken,fast_food,POINT (32.6130914 0.3547834)
Zodiac,restaurant,POINT (32.5757145 0.3275627)
Valhalla Bar and Restaurant,restaurant,POINT (32.5757241 0.3289312)
Great Wall Chinese Restaurant,restaurant,POINT (32.582959 0.313049)
